exercise_id;exercise_name_clean;muscle_group;muscle_label;didactic_pattern_current;technical_pattern_current;issue_type;issue_details;source_file
table_014;Си-си присед с собственным весом;ноги квадрицепс;Квадрицепс;Приседание;приседание;needs_manual_review;"missing_youtube; unknown_difficulty; duplicate_name; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_098;Скрепка на пресс;пресс;Прямая мышца живота;Скручивание;скручивание;needs_manual_review;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_128;Суперсет на верх груди в смитте;грудь;Верх груди;Горизонтальный жим;горизонтальный жим;needs_manual_review;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_065;Т-тяга в тренажёре;спина;Верх спины;Горизонтальная тяга;горизонтальная тяга;needs_manual_review;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_064;Т-тяга со штангой;спина;Верх спины;Горизонтальная тяга;горизонтальная тяга;needs_manual_review;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_091;"Тяга ""Арбалет"" на заднюю дельту";плечи задняя деьта;Задняя дельта;Разведение плеча;разведение плеча;needs_manual_review;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_076;Тяга гантели к поясу;спина;Верх спины;Горизонтальная тяга;горизонтальная тяга;needs_manual_review;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_074;Тяга гирь к поясу;спина;Верх спины;Горизонтальная тяга;горизонтальная тяга;needs_manual_review;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_051;Тяга к подбородку в кроссовере;плечи передняя дельта средняя дельта;Средняя дельта / трапеция;Тяга к подбородку;тяга к подбородку;needs_manual_review;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_057;Тяга Ли Хэйни;плечи задняя дельта;Задняя дельта;Разгибание плеча;разгибание плеча;needs_manual_review;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_053;Тяга штанги к поясу;спина;Верх спины;Горизонтальная тяга;горизонтальная тяга;needs_manual_review;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_143;Удержание веса;грудь;Грудные / стабилизаторы;Удержание;удержание;needs_manual_review;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_115;Ягодицы в тренажере;ягодицы;Большая ягодичная;Разгибание бедра;разгибание бедра;needs_manual_review;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_157;G-жим;трицепс;Трицепс;Разгибание локтя;разгибание локтя;needs_manual_review;"missing_youtube; unknown_difficulty; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
