exercise_id;exercise_name_clean;muscle_group;muscle_label;didactic_pattern_current;technical_pattern_current;issue_type;issue_details;source_file
ex_присед-плие;Присед плие;квадрицепс;;squat_lunge;squat_lunge;data_quality;"missing_video; missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; duplicate_name";public/data/exercise-catalog.json
prog_a4b82a6571;Присед плие;;;;;data_quality;"missing_selectel_video; missing_youtube; missing_muscle_map; missing_muscle_label; missing_pattern; unknown_difficulty; duplicate_name";"public/data/exercises.json; public/data/training-programs.json"
table_111;Присед с точкой опоры;ноги;Квадрицепс / ягодицы;Приседание;приседание;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_124;Приседание в кроссовере;ноги;Квадрицепс / ягодицы;Приседание;приседание;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_026;Приседания в смите;ноги;Квадрицепс / ягодицы;Приседание;приседание;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; replacement_audit.json"
table_146;Приседания с паузой;ноги;Квадрицепс / ягодицы;Приседание;приседание;data_quality;"missing_youtube; unknown_difficulty";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_144;Приседания со штангой;ноги;Квадрицепс / ягодицы;Приседание;приседание;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_096;Прямые скручивания с мячом;пресс;Прямая мышца живота;Скручивание;скручивание;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_077;Пуловер в кроссовере;спина;Широчайшие;Пуловер;пуловер;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
table_066;Пуловер с гантелей;спина;Широчайшие;Пуловер;пуловер;data_quality;"missing_youtube; unknown_difficulty; suspicious_equipment; needs_manual_review";"src/data/exerciseCatalogTable.json; public/data/exercise-catalog.json; public/data/exercises.json; public/data/training-programs.json; replacement_audit.json"
