replacement_group_id;movement_vector;muscle_group;exercise_type;gender;exercise_count;exercises
didactic_group_032;зашагивание;ягодицы;изоляция;all;1;Зашагивания на тумбу
didactic_group_035;жим ногами;ягодицы;изоляция;all;1;Жим платформы на ягодицы
didactic_group_036;жим ногами;бицепс бедра;изоляция;all;1;Жим ногами на бицепс бедра
didactic_group_039;латеральное зашагивание;ягодицы;изоляция;all;1;Латеральные или боковые зашагивания
didactic_group_041;жим ногами;квадрицепс;база;all;1;Горизонтальный жим ногами
didactic_group_042;приведение / отведение бедра;ягодицы;изоляция;all;1;Сведение и разведение ног
didactic_group_043;приседание с опорой;лфк;лфк;all;1;Присед с точкой опоры
didactic_group_044;разгибание бедра;ягодицы;изоляция;all;1;Махи на ягодицы в кроссовере
didactic_group_045;разгибание таза;бицепс бедра;изоляция;all;1;Мёртвая тяга
didactic_group_046;разгибание колена;квадрицепс;изоляция;all;1;Разгибание ног
didactic_group_047;стабилизация со штангой;квадрицепс;подсобное;all;1;Отходы со штангой
didactic_group_048;антиротация;кор;изоляция;all;1;Антиротация на пресс
didactic_group_052;подъем ног;прямая мышца живота;изоляция;all;1;Подъемы ног на скамье для пресса
didactic_group_054;подъем ног;нижний пресс;изоляция;all;1;Подъемы ног на пресс
didactic_group_057;стабилизация плеча / внешняя ротация;лфк;лфк;all;1;Комплекс ЛФК упражнений на плечи
didactic_group_058;изометрическое удержание;большие грудные;подсобное;all;1;Удержание веса
